order_id,order_item_id,customer_id,fecha,año,mes,mes_nombre,dia_semana,estado,ciudad,categoria,peso_producto_g,precio,costo_envio,valor_total_pagado,metodo_pago,cuotas,estado_orden,dias_entrega,dias_retraso,rating
36989eb07a0de2d3d3129eea35553875,2.0,aadd27185177fc7ac9b364898ac09343,2016-10-04,2016,10,2016-10,Tuesday,MT,cuiaba,Furniture Decor,1500.0,23.9,26.82,101.44,Credit Card,10.0,Delivered,7.0,-56.0,5.0
3f72d2b757e725cd48a4726f831c7789,1.0,e0de521fbb397bd7e83d079fe66357b5,2016-10-04,2016,10,2016-10,Tuesday,MG,belo horizonte,Perfumery,610.0,249.9,17.59,267.49,Credit Card,10.0,Delivered,12.0,-42.0,3.0
8b388d845a3e8700444b971fa2bef902,1.0,00474d2582fd72663036795b7ab8cfc1,2016-10-04,2016,10,2016-10,Tuesday,PR,nova esperanca,Baby,200.0,39.9,13.4,108.84,Boleto,1.0,Delivered,34.0,-28.0,4.0
98750f114ae6088d04ea0d3cfe3f137f,1.0,01fc05160cf790b9ed54ec795ff07688,2016-10-05,2016,10,2016-10,Wednesday,RJ,rio de janeiro,Auto,100.0,10.0,14.52,24.52,Boleto,1.0,Delivered,23.0,-32.0,5.0
ad1aeeb1a99c9f021e38a49865bb812c,1.0,6deeb4ffef6cf320ef5a642302f04104,2016-10-05,2016,10,2016-10,Wednesday,MA,sao luis,Market Place,600.0,77.9,26.3,625.2,Boleto,1.0,Delivered,21.0,-44.0,5.0
cb2b577a4ebd84bf84ff3990084d490f,1.0,ebd67b458c0b8b23fa5d869779adc761,2016-10-05,2016,10,2016-10,Wednesday,MG,ibirite,Toys,7811.0,128.9,21.01,149.91,Credit Card,2.0,Delivered,26.0,-29.0,4.0
389815397a4bcdf3dcf64b90c25b3140,1.0,3a47005be3c2748d25859444f49b0048,2016-10-05,2016,10,2016-10,Wednesday,MG,coronel fabriciano,Health Beauty,443.0,30.97,14.52,45.49,Credit Card,4.0,Delivered,10.0,-44.0,5.0
34c718970b33419ed6d537a90366231b,1.0,ac68706c6f747bf0f7e7986a7ba40155,2016-10-05,2016,10,2016-10,Wednesday,MG,belo horizonte,Toys,667.0,119.99,14.81,134.8,Credit Card,6.0,Delivered,26.0,-29.0,1.0
3d58fd1ee438a43f2a826dda6b013519,1.0,96c492da7645ca77d09a59b20d415cfe,2016-10-06,2016,10,2016-10,Thursday,GO,goiania,Toys,800.0,41.99,19.07,61.06,Credit Card,3.0,Delivered,17.0,-43.0,5.0
1c4cafd25254eee31c8c9b8c141fb10a,1.0,b03bfe9da81252f5e3b39196ba3518c0,2016-10-06,2016,10,2016-10,Thursday,DF,brasilia,Watches Gifts,214.0,649.17,22.14,671.31,Credit Card,4.0,Delivered,21.0,-40.0,5.0
ce9840efc17fbec501472f7c784be1bf,1.0,950c3e2b1eab245ac9e26cf96a1c6a23,2016-10-06,2016,10,2016-10,Thursday,PR,rio branco do sul,Sports Leisure,150.0,18.9,14.52,33.42,Credit Card,1.0,Delivered,17.0,-37.0,4.0
06d7e8a85f5cfef576c5303ed7d7f2e5,1.0,57108de6e1cf238dfd0ed00e3d878096,2016-10-07,2016,10,2016-10,Friday,MG,coromandel,Cool Stuff,1700.0,49.0,14.72,72.02,Credit Card,7.0,Delivered,12.0,-43.0,4.0
7559c51df991c6861e6a8be5fb1e3751,1.0,494622d8ca78370960fce737e9ad15c9,2016-10-07,2016,10,2016-10,Friday,PR,santo antonio do sudoeste,Furniture Decor,7550.0,49.0,20.49,69.49,Boleto,1.0,Delivered,18.0,-36.0,3.0
5fe46d14177744ae2180101ce19bb414,1.0,8dcc5cd0569e6c1cfd0444e4a26419d4,2016-10-07,2016,10,2016-10,Friday,RN,santa cruz,Computers Accessories,1300.0,18.9,22.28,41.18,Credit Card,2.0,Delivered,25.0,-38.0,5.0
376cc9a8f827d17966ea7c4b182f4426,1.0,e9a5cb5d9783e1fc38e23730ff24c51d,2016-10-07,2016,10,2016-10,Friday,PR,cianorte,Health Beauty,1300.0,59.9,11.31,71.21,Credit Card,1.0,Delivered,7.0,-46.0,5.0
fb5114c39f632a52598cf770c6076620,1.0,94b216231ec09ee34764a8d456126328,2016-10-08,2016,10,2016-10,Saturday,DF,brasilia,Computers Accessories,250.0,35.0,16.05,51.05,Credit Card,3.0,Delivered,10.0,-48.0,1.0
df30f88407baa98218b16abe7032899a,1.0,705ea3eb85deaed8f68356890e5e3c7d,2016-10-08,2016,10,2016-10,Saturday,GO,goiania,Perfumery,411.0,339.9,21.27,361.17,Credit Card,10.0,Delivered,7.0,-52.0,5.0
6ad644c08b98d152d28f183097633d41,1.0,8b822fa56bbe10f4f14af6500eeed98b,2016-10-08,2016,10,2016-10,Saturday,SP,praia grande,Fashion Bags Accessories,150.0,49.9,10.96,60.86,Credit Card,3.0,Delivered,12.0,-41.0,5.0
ed3d575bd3358123b063ee64cdecdef5,1.0,7591ab894fb4a47debe5beef968b6804,2016-10-08,2016,10,2016-10,Saturday,SP,sao paulo,Sports Leisure,476.0,21.5,8.72,30.22,Credit Card,3.0,Delivered,7.0,-46.0,5.0
8c78d01de3a9009e23d6877a7cc9be20,2.0,6cd7106899e59a1fbd0622d5f1efedf4,2016-10-08,2016,10,2016-10,Saturday,SP,mongagua,Furniture Decor,3800.0,159.9,23.12,249.72,Credit Card,7.0,Delivered,17.0,-36.0,3.0
0891b66cbcc48cf64f31ae9cae3d08d8,1.0,3c0b720f2a9aebf70b250e73ef4fda63,2016-10-09,2016,10,2016-10,Sunday,PR,siqueira campos,Furniture Decor,1900.0,299.99,17.91,317.9,Credit Card,10.0,Delivered,17.0,-34.0,4.0
